,Screen Size,Screen Resolution,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand Name,Series,Operating System,Item Weight,Product Dimensions,Item Dimensions L x W x H,Processor Brand,Processor Count,Flash Memory Size,Hard Drive Interface,Hard Drive Rotational Speed,Optical Drive Type,Batteries,Date First Available,Price
1178,15.6 inches,1920 x 1080,2.7 GHz AMD A Series,16 GB,256 GB flash_memory_solid_state,AMD Radeon R7,amd,Dedicated,,,ASUS,VivoBook F510QA,Windows 10,5.1 pounds,14.2 x 10.1 x 0.8 inches,14.2 x 10.1 x 0.8 inches,Intel,4,16 GB,Solid State,,,,"July 2, 2019",
1179,,1366 x 768 HD Resolution,2.5 GHz Intel Core i5,8 GB,128 GB SSD,Intel HD Graphics 4600,intel,Integrated,,,HP,ProBook,Windows 10,5.5 pounds,10.1 x 14.9 x 1.1 inches,10.1 x 14.9 x 1.1 inches,Intel,2,,Solid State,,,,"May 14, 2019",
1180,14 inches,1920x1080,1.6 GHz Intel Core i5,8 GB DDR4,128 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,,HP,x360,Windows 10,3.53 pounds,12.7 x 8.8 x 0.8 inches,12.7 x 8.8 x 0.8 inches,Intel,4,128 GB,Solid State,,,1 C batteries required.,"November 14, 2018",$599.00
1181,15.6 inches,1366 x 768,2.5 GHz Intel Core i5,8 GB SDRAM,256 GB mechanical_hard_drive,Intel HD Graphics 620,intel,Integrated,,,Dell_laptop,Dell,Windows 10,4.71 pounds,15 x 10.2 x 0.9 inches,15 x 10.2 x 0.9 inches,Intel,2,,Solid State,,,1 Lithium Metal batteries required. (included),"August 28, 2019",$479.90
1182,17.3 inches,1400 x 900,2.1 GHz Intel Core i3,16 GB,1 TB PCIE SSD,Intel UHD Graphics 620,intel,Integrated,,,Lenovo,L340,Windows 10,7 pounds,16.8 x 12 x 1 inches,16.8 x 12 x 1 inches,Intel,2,,Serial ATA,,,,"July 11, 2019",$599.94
1183,13.3 inches,1920 x 1080,3.9 GHz Intel Core i5,8 GB DDR4,1 TB SSD,Intel UHD Graphics 620,Intel,Integrated,,8 hours,Dell,Dell Inspiron,Windows 10,6 pounds,12.1 x 8.4 x 0.6 inches,12.1 x 8.4 x 0.6 inches,Intel,4,1 TB,Solid State,,,2 Nonstandard Battery batteries required. (included),"September 4, 2019",$720.00
1184,15.6 inches,1366x768,1.1 GHz Pentium,8 GB DDR4,1 TB mechanical_hard_drive,Intel UHD Graphics 605,intel,integrated,,,Lenovo,Lenovo IdeaPad 330,Windows 10,5.98 pounds,10.2 x 14.9 x 0.9 inches,10.2 x 14.9 x 0.9 inches,Intel,4,,Serial ATA,5400 RPM,,,"March 25, 2019",$330.26
1185,14 inches,1366 x 768,2.1 GHz Intel Core i3,8 GB,1 TB HDD,Intel UHD Graphics 620,Intel,Integrated,,,Dell,Dell,Windows 10 Home,3.68 pounds,13.3 x 9.5 x 0.8 inches,13.35 x 9.52 x 0.83 inches,Intel,2,,Serial ATA,,,,"August 21, 2019",$437.82
1186,14 inches,1366 x 768,1.6 GHz Intel Core i5,8 GB,1 TB HDD,Intel HD Graphics 620,Intel,Integrated,,,HP,HP,Windows 10 Pro,3.53 pounds,12.8 x 9.4 x 0.7 inches,12.76 x 9.36 x 0.71 inches,Intel,4,,Serial ATA,,,1 Lithium ion batteries required. (included),"August 3, 2019",$569.94
1187,15.6 inches,1920 x 1080 pixels,2.3 GHz 8032,SDRAM,SSD,,AMD,Integrated,1,,Lenovo,E595,,6.05 pounds,14.5 x 9.9 x 0.8 inches,14.5 x 9.9 x 0.8 inches,AMD,1,256.00,Serial ATA,0.01 RPM,No Optical Drive,,"May 30, 2019",
1188,15.6 inches,1920 x 1080,2.3 GHz Core i5 8300H,16 GB SDRAM,256 GB SSD,NVIDIA GeForce GTX 1050 4GB GDDR5,NVIDIA,dedicated,,5 hours,MSI,Gaming Laptop,Windows 10,5.07 pounds,15.1 x 10.2 x 1.2 inches,15.1 x 10.2 x 1.2 inches,Intel,4,,Solid State,,,1 Lithium ion batteries required. (included),"September 16, 2019",$759.00
1189,14 inches,1366 x 768,2.1 GHz Intel Core i3,32 GB,512 GB flash_memory_solid_state,Intel UHD Graphics 620,intel,Integrated,,,HP,Notebook,Windows 10,,,,Intel,2,,Serial ATA,,,,"October 3, 2019",$493.99
1190,17.3 inches,1920 x 1080,1.8 GHz Intel Core i7,16 GB DDR4,2 TB Mechanical Hard Drive,NVIDIA MX150,nvidia,Dedicated,1,,Dell,Dell Ultra,Windows 10 Home,6.5 pounds,16.3 x 10.9 x 0.9 inches,16.3 x 10.9 x 0.9 inches,Intel,4,512.00,Serial ATA,5400 RPM,No Optical Drive,1 Lithium ion batteries required.,"March 21, 2017","$1,166.18"
1191,17.3 inches,1920 x 1080,1.8 GHz Intel Core i7,32 GB,1 TB HDD,NVIDIA GeForce MX Series,NVIDIA,Dedicated,,,HP,HP Envy,Windows 10,6.73 pounds,11.1 x 16.4 x 0.9 inches,11.14 x 16.38 x 0.92 inches,Intel,4,512 GB,Serial ATA,,,1 Lithium ion batteries required. (included),"June 24, 2018","$1,395.00"
1192,15.6 inches,1920 x 1080 pixels,3.6 GHz A-Series,8 GB DDR4,256 GB Flash Memory Solid State,AMD Radeon R7,AMD,"Integrated, Dedicated",2,,ASUS,VivoBook F510QA,Windows 10 Home,3.7 pounds,14.2 x 9.6 x 0.8 inches,14.2 x 9.6 x 0.76 inches,AMD,4,256,Solid State,10000 RPM,No Optical Drive,1 Lithium Polymer batteries required. (included),"April 12, 2019",$354.99
1193,11.6 inches,1366x768,1.1 GHz Intel Celeron,4 GB DDR3,500 GB HDD 5400 rpm,Intel HD Graphics,Intel,Integrated,,8 hours,ASUS,Asus VivoBook Flip 11.6 2in1,Windows 10,2.65 pounds,11.5 x 7.8 x 0.7 inches,11.5 x 7.8 x 0.67 inches,Intel,2,512 GB,Serial ATA,5400.00,,1 Lithium ion batteries required. (included),"March 26, 2018",$339.01
1194,17.3 inches,1600x900,1.6 GHz Intel Core i5,24 GB,256 GB SSD,Intel UHD Graphics 620,,Integrated,,,HP,17-BY105,Windows 10,5.44 pounds,16.3 x 10.7 x 1 inches,16.33 x 10.72 x 0.96 inches,Intel,4,,Solid State,,,,"November 15, 2019",$649.00
1195,15.6 inches,1366 x 768,1.6 GHz Core i5 8250U,4 GB DDR4,1 TB Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,,7 hours,Lenovo,81F5006FUS,Android,12.3 ounces,20.1 x 12.6 x 2.7 inches,20.12 x 12.56 x 2.68 inches,Motorola,4,,eSATA,5400 RPM,No Optical Drive,1 Lithium Metal batteries required. (included),"August 4, 2018",$465.00
1196,7 inches,4096×2304 @24Hz,1.5 GHz Intel Celeron,8 GB LPDDR3,128 GB emmc,Intel HD Graphics 615,Intel,Integrated,,7 hours,LANRUO,LANRUOPocket2AmberBlack,Windows 10 Home,15.5 ounces,7.1 x 4.5 x 2 inches,7.13 x 4.45 x 1.97 inches,Intel,2,128 GB,,,,1 12V batteries required.,"September 3, 2018",$609.99
1197,15.6 inches,1366x768,1.6 GHz Intel Core i5,32 GB SO-DIMM,1 TB SSD,Intel UHD Graphics 620,Intel,Integrated,,,Dell,850011104378,Windows 10,4.41 pounds,15 x 10.2 x 0.8 inches,15 x 10.2 x 0.8 inches,Intel,4,,Solid State,,,,"November 11, 2019",$660.99
1198,15.6 inches,3840 x 2160,2.2 GHz Intel Mobile CPU,16 GB DDR4,512 GB flash_memory_solid_state,NVIDIA GeForce GTX 1050 Ti,Intel,Dedicated,,,HP,Spectre,Windows 10,6.4 pounds,14.2 x 9.8 x 0.8 inches,14.22 x 9.84 x 0.76 inches,Intel,6,,Solid State,,,1 Lithium ion batteries required. (included),"September 29, 2019","$1,279.99"
1199,14 inches,1366 x 768,2.3 GHz Pentium,16 GB SDRAM,500 GB HDD 5400 rpm,Intel HD Graphics 610,Intel,integrated,,11.25 hours,HP,HP,Windows 10,3.15 pounds,12.8 x 9 x 0.8 inches,12.76 x 8.98 x 0.78 inches,Intel,2,,Serial ATA,,,1 Lithium ion batteries required. (included),"October 28, 2019",$379.00
1200,15.6 inches,1366 x 768,1.8 GHz Intel Core i7,8 GB DDR4,256 GB SSD+1TB HDD,Intel UHD Graphics 620,intel,Integrated,,,Lenovo,Lenovo 330S-15IKB,Windows 10,4.41 pounds,14 x 9.5 x 0.8 inches,14 x 9.5 x 0.8 inches,Intel,4,256 GB,Solid State,,,1 Lithium ion batteries required. (included),"April 26, 2019",$668.98
1201,15.6 inches,,1.8 GHz Intel Core i7,16 GB,1 TB SSD,Intel HD Graphics 620,intel,Integrated,,,Toshiba,Tecra,Windows 10,5 pounds,14.9 x 10.2 x 0.9 inches,14.9 x 10.2 x 0.95 inches,Intel,2,256 GB,Serial ATA,,,1 Lithium ion batteries required.,"December 4, 2017",$939.99
1202,15.6 inches,1366 x 768,1.1 GHz Intel Celeron D,8 GB,1 TB flash_memory_solid_state,INTEL,intel,Integrated,,,Lenovo,LENOVO,Windows 10,5.9 pounds,10.2 x 14.9 x 0.9 inches,10.2 x 14.9 x 0.9 inches,Intel,4,128 GB,Serial ATA,,,,"August 2, 2018",$329.90
1203,15.6 inches,1920x1080,2.5 GHz Intel Core i7,12 GB SDRAM,1 TB HDD 5400 rpm,Intel HD Graphics 520,intel,Integrated,,9 hours,HP,HP Pavilion 15.6,Windows 10,4.27 pounds,15.1 x 9.6 x 0.9 inches,15.06 x 9.56 x 0.89 inches,Intel,2,,Serial ATA,5400 RPM,,1 Lithium Polymer batteries required. (included),"November 30, 2016",
1204,11.6 inches,1366x768,2.5 GHz AMD A Series,8 GB,1 TB HDD 5400 rpm,AMD Radeon R5,amd,integrated,,,Dell,Inspiron,Windows 10,4.65 pounds,7 x 5 x 1.5 inches,7 x 5 x 1.5 inches,AMD,2,,Serial ATA,,,,"July 3, 2019",$389.00
1205,15.6 inches,1920 x 1080 pixels,2.5 GHz Core i5 Family,8 GB DDR4,512 GB SSD,Intel HD Graphics 620,intel,Integrated,2,,Dell,Vostro 15 3000,Windows 10 Pro,4.41 pounds,15 x 0.9 x 10.2 inches,14.96 x 0.93 x 10.24 inches,Intel,2,8.00,Solid State,1 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"November 30, 2015",$649.98
1206,14 inches,1920 x 1080,1.8 GHz Intel Core i7,16 GB DDR,512 GB PCIe SSD,NVIDIA GeForce MX130 with 2GB GDDR5,NVIDIA,integrated,,,Dell,Dell Vostro 5000,Windows 10 Pro,3.42 pounds,13.6 x 9.3 x 0.8 inches,13.6 x 9.3 x 0.8 inches,Intel,4,,Solid State,,,3 Lithium ion batteries required.,"November 3, 2019",$879.00
1207,15.6 inches,1920 x 1080 pixels,1.7 GHz 8032,8 GB DDR4,Flash Memory Solid State,Intel UHD Graphics 620,Intel,Integrated,,,HP,HP EliteBook,Windows 10 Pro,4.25 pounds,14.6 x 9.9 x 0.7 inches,14.6 x 9.9 x 0.7 inches,Intel,4,256.0,Serial ATA-600,1,No Optical Drive,1 Lithium ion batteries required. (included),"February 21, 2018","$1,159.99"
1208,13.3 inches,1920 x 1080,4.6 GHz,8 GB LPDDR3,256 GB SSD,Intel,,Integrated,,,Dell,Dell XPS 9380,Windows 10 Home,5 pounds,4 x 15 x 17 inches,4 x 15 x 17 inches,Intel,4,256 GB,,,,1 Lithium Polymer batteries required. (included),"February 15, 2019","$1,200.00"
1209,15.6 inches,1366 x 768,2.1 GHz Intel Core i3,20 GB SO-DIMM,1 TB flash_memory_solid_state,Intel UHD Graphics 620,Intel,Integrated,,8.5 hours,Lenovo,850012157090,Windows 10,7 pounds,14.1 x 9.6 x 0.7 inches,14.1 x 9.6 x 0.7 inches,Intel,2,,Solid State,,,,"November 5, 2019",$540.99
1210,15.6 inches,1366x768,2 GHz Intel Core i5,8 GB DDR4,256 GB SSD,Integrated Intel HD,Intel,Integrated,,6 hours,Dell,insprion 15-5000,Windows 10,5.07 pounds,15 x 10 x 0.9 inches,15 x 10 x 0.9 inches,Intel,2,256 GB,Solid State,,,1 Lithium Polymer batteries required.,"November 26, 2018",$455.00
1211,15.6 inches,1920 x 1080,2.3 GHz Intel Core i5,16 GB,1256 GB Hybrid,NVIDIA GeForce GTX 1050 Ti,nvidia,Dedicated,,6 hours,Dell,Dell G3,Windows 10,5.57 pounds,15 x 10.2 x 0.9 inches,15 x 10.2 x 0.9 inches,Intel,4,250 GB,Serial ATA,,,1 Lithium ion batteries required.,"March 1, 2019",$819.00
1212,15.6 inches,1920x1080,2.3 GHz Core i5 8300H,8 GB SDRAM,1 TB HDD 5400 rpm,NVIDIA GeForce GTX 1050 Ti,NVIDIA,Dedicated,,,Dell,G3,Windows 10,5.57 pounds,15 x 10.2 x 0.9 inches,15 x 10.2 x 0.9 inches,Intel,4,,Serial ATA,,,1 Lithium ion batteries required. (included),"November 24, 2018",$630.00
1213,14 inches,1366x768,1.1 GHz Intel Core i5,8 GB,512 GB PCIe SSD,Intel UHD Graphics,,,,,Dell,Inspiron,Windows 10,5 pounds,13.3 x 9.5 x 0.8 inches,13.35 x 9.52 x 0.78 inches,Intel,4,,Solid State,,,,"November 19, 2019",$479.00
1214,15.6 inches,1920 x 1080,2.6 GHz Ryzen 3 2300U,8 GB,1 TB mechanical_hard_drive,AMD Radeon Vega 3,amd,,,,Lenovo,81LW005PUS,Windows 10,4.85 pounds,14.3 x 10 x 0.9 inches,14.3 x 10 x 0.9 inches,AMD,4,,Serial ATA,,,1 Lithium Polymer batteries required.,"September 24, 2019",$399.00
1215,11.6 inches,,1.1 GHz Intel Celeron,2 GB,32 GB SSD,Graphics 600,intel,integrated,,,ASUS,ASUS,Windows 10,3.5 pounds,,,Intel,2,32 GB,Serial ATA,,,1 Lithium ion batteries required. (included),"September 28, 2018",$194.95
1216,15.6 inches,1366 x 768,1.8 GHz Intel Core i7,8 GB,1 TB HDD 5400 rpm,Intel UHD Graphics 620,intel,Integrated,,,Dell,inspiron 15 3000 3584,Windows 10,4.34 pounds,10.2 x 15 x 0.8 inches,10.16 x 14.96 x 0.78 inches,Intel,4,,Serial ATA-600,,,1 Lithium ion batteries required. (included),"October 2, 2019",$569.00
1217,13.1 inches,1024 x 768,2.7 GHz Intel Core i5,8 GB,240 GB,Intel HD Graphics,intel,,,,Toughbook,CF-31,Windows 7 Professional,10.76 pounds,,,Intel,1,240 GB,Serial ATA-300,7200 RPM,,1 Lithium ion batteries required. (included),"February 19, 2019",
1218,15.6 inches,1920 x 1080,2.2 GHz Core i7 8750H,16 GB,256 GB SSD + 1TB HDD,NVIDIA GeForce GTX 1050 Ti,nvidia,Dedicated,,,Dell,Dell G5 5587 Notebook PC,Windows 10,5.51 pounds,15.3 x 10.3 x 0.9 inches,15.32 x 10.32 x 0.93 inches,Intel,6,256 GB,Serial ATA,,,1 Lithium ion batteries required. (included),"June 10, 2019","$1,029.99"
1219,15.6 inches,1920 x 1080,4.1 GHz Core i7 8750H,16 GB DDR4,1000 GB 128GB PCIe M.2 SSD + 1TB (+8GB SSHD) Hybrid Drive,NVIDIA GeForce GTX 1060,nvidia,Dedicated,3,,Alienware,AWm15-7830SLV-PUS,Windows 10 Home,4.85 pounds,14.3 x 10.8 x 0.8 inches,14.3 x 10.8 x 0.8 inches,Intel,6,16.00,Solid State,5400 RPM,No Optical Drive,1 Lithium ion batteries required.,"January 5, 2019","$1,149.90"
1220,15.6 inches,1920x1080,1.6 GHz Intel Core i5,8 GB DDR,128 GB SSD,Intel UHD Graphics 620,,Integrated,,,HP,HP Pavilion x360 2-in-1 FHD,Windows 10,5.65 pounds,14 x 9.6 x 0.8 inches,14 x 9.56 x 0.78 inches,Intel,4,128 GB,Serial ATA,,,1 Lithium ion batteries required. (included),"January 16, 2019",$580.95
1221,11.6 inches,1366 x 768,1.1 GHz Intel Celeron,4 GB DDR3,64 GB eMMC SSD,Integrated Intel HD Graphics 500,Intel,integrated,,,HP,HP ProBook x360 G1 EE 11.6-Inch Commercial Laptop,Windows 10,3.19 pounds,8.2 x 11.9 x 0.8 inches,8.19 x 11.91 x 0.78 inches,Intel,4,64 GB,Solid State,,,1 Lithium ion batteries required. (included),"February 13, 2019",$299.00
1222,15.6 inches,1366 x 768,1.1 GHz Pentium,8 GB,512 GB SSD,Graphics 605,intel,,,,Dell,Dell Inspiron,Windows 10,,,,Intel,4,,Serial ATA,,,,"September 18, 2018",$479.00
1223,,,,,,,,,,,,,,6.32 pounds,,,,,,,,,1 Lithium ion batteries required. (included),,
1224,17 inches,1920x1080,4 GHz Intel Core i7,16 GB,1 TB HDD 7200 rpm,Intel UHD Graphics 620,NVIDIA,"dedicated, integrated",,7 hours,HP,HP Envy 17T Notebook PC,Windows 10,6.75 pounds,4.5 x 22.7 x 13.7 inches,4.5 x 22.7 x 13.7 inches,Intel,4,16 GB,ATA,7200.00,,1 Lithium ion batteries required.,"April 17, 2018",$779.99
1225,15.6 inches,1920 x 1080,2.2 GHz Ryzen 7 Pro 2700U,16 GB SO-DIMM,512 GB SSD,AMD Radeon RX Vega 10,,,,5 hours,Acer,Aspire 3,Windows 10,5.07 pounds,10.3 x 15 x 1 inches,10.3 x 15 x 1 inches,AMD,4,,Solid State,,,1 Lithium ion batteries required. (included),"November 18, 2019",
1226,14 inches,1366 x 768,2.6 GHz Intel Celeron,4 GB,32 GB emmc,intel,Intel,Integrated,,,Dell,Inspiron,Windows 10,4.22 pounds,9.6 x 13.6 x 0.9 inches,9.57 x 13.58 x 0.92 inches,Intel,2,32 GB,Solid State,,,1 Lithium ion batteries required. (included),"May 8, 2019",$279.00
1227,15.6 inches,1920x1080,2.6 GHz Intel Core i7,16 GB,1 TB HDD 5400 rpm,NVIDIA GeForce GTX 1660 Ti 6GB GDDR6,nvidia,dedicated,,,Dell,G5 15 Gaming,Windows 10,7 pounds,14.4 x 10.8 x 0.8 inches,14.37 x 10.8 x 0.78 inches,Intel,6,256 GB,Serial ATA,5400 RPM,,,"August 28, 2019","$1,199.00"
1228,15.6 inches,1366 x 768,2.2 GHz Intel Core i3,12 GB,1 TB HDD,Intel UHD Graphics 620,Intel,Integrated,,,HP,HP,Windows 10 Home,3.9 pounds,14.8 x 9.7 x 0.9 inches,14.8 x 9.69 x 0.89 inches,Intel,2,,Serial ATA,,,,"August 29, 2019",$548.90
1229,14 inches,1366x768,2.3 GHz Pentium,16 GB,512 GB SSD,Intel UHD Graphics 620,,Integrated,,,Einstart,EST Notebook,Windows 10,5 pounds,12.8 x 9 x 0.8 inches,12.76 x 8.98 x 0.78 inches,Intel,2,,Solid State,,,,"November 12, 2019",$399.00
1230,14 inches,1920 x 1080,1.8 GHz Intel Core i7,16 GB,1 TB SSD,Intel UHD Graphics 620,Intel,,,,Lenovo,Lenovo,Windows 10 Home,3.53 pounds,12.9 x 9 x 0.7 inches,12.9 x 9 x 0.7 inches,Intel,4,,Serial ATA,,,,"November 20, 2019",$863.35
1231,15.6 inches,1920x1080,2.2 GHz Intel Core i7,16 GB,1 TB flash_memory_solid_state,NVIDIA GeForce GTX 1060,nvidia,Dedicated,,3 hours,MSI,Leopard,Windows 10,9.05 pounds,23 x 20 x 13.8 inches,23 x 20 x 13.8 inches,Intel,1,256 GB,Serial ATA-600,,,1 Lithium ion batteries required.,"June 15, 2018",$989.99
1232,15.6 inches,1920 x 1080 (Full HD),2.3 GHz Intel Core i5,12 GB DDR,1 TB HDD 5400 rpm,NVIDIA GeForce GTX 950M,nvidia,Dedicated,,,Lenovo,Lenovo Ideapad 700,Windows 10,5.07 pounds,15.1 x 10.4 x 0.9 inches,15.12 x 10.43 x 0.89 inches,Intel Quad Core i5-6300HQ,4,1 TB,Serial ATA,5400 RPM,,,"May 17, 2017",$849.00
1233,,,,,,,,,,,,,,3.2 ounces,,,,,,,,,,,$7.99
1234,,,,,,,,,,,,,,3.84 ounces,16.4 x 10.6 x 0.1 inches,,,,,,,,,,$13.95
1235,14 inches,1920 x 1080,1.6 GHz Intel Core i5,8 GB SDRAM,128 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,10 hours,Lenovo,Lenovo Flex 6 14-inch FHD,Windows 10,3.66 pounds,12.9 x 9 x 0.7 inches,12.91 x 9.02 x 0.69 inches,Intel,4,128 GB,Serial ATA,,,1 Lithium Polymer batteries required. (included),"April 1, 2019",$529.00
1236,13.3 inches,1920 x 1080,2 GHz AMD A Series,16 GB,512 GB SSD,AMD Radeo Vega 8,AMD,,,,Dell,DELL,Windows 10,3.84 pounds,12.7 x 8.8 x 0.7 inches,12.7 x 8.8 x 0.7 inches,AMD,4,512 GB,Serial ATA,,,,"September 7, 2019",$605.06
1237,14 inches,,Intel Core i3,8 GB DDR4,128 GB flash_memory_solid_state,Intel UHD Graphics 620,,"Dedicated, Integrated",,,HP,HP Pavilion,Windows 10,3.75 pounds,12.7 x 8.8 x 0.8 inches,12.7 x 8.8 x 0.8 inches,Intel,2,128 GB,,,,1 Lithium Polymer batteries required.,"November 13, 2018",$570.00
1238,15.6 inches,1366 x 768,2.1 GHz Ryzen 5 2500U,8 GB SDRAM,1 GB Mechanical Hard Drive,AMD Radeon Vega 8,AMD,Integrated,,,HP,15-db1040nr,Windows 10 Home,4.35 pounds,14.8 x 9.7 x 0.9 inches,14.8 x 9.69 x 0.89 inches,Intel,4,512.00,Serial ATA,5400 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"April 7, 2019",
1239,15.6 inches,1366 x 768,2.5 GHz Intel Core i5,8 GB,1 TB HDD,Intel HD Graphics 620,Intel,Integrated,,,HP,HP,Windows 10,4.51 pounds,14.8 x 9.7 x 0.9 inches,14.8 x 9.69 x 0.89 inches,Intel,2,256 GB,Serial ATA,,,1 Lithium ion batteries required.,"June 5, 2019",$503.51
1240,15.6 inches,HD touchscreen (1366 x 768),3.1 GHz AMD A Series,12 GB DDR,2 TB mechanical_hard_drive,AMD Radeon R5 Graphics Integrated,Intel,,,,HP,HP Pavilion,Windows 10,4.6 pounds,9.7 x 14.8 x 0.9 inches,9.69 x 14.8 x 0.89 inches,AMD,2,,Serial ATA,,,,"October 16, 2019",$459.00
1241,14 inches,1366 x 768,2.1 GHz Intel Core i3,8 GB,128 GB flash_memory_solid_state,Intel UHD Graphics 620,intel,Integrated,,,HP,Notebook,Windows 10,,,,Intel,2,,Serial ATA,,,,"October 3, 2019",$359.00
1242,15.6 inches,1920 x 1080,3.6 GHz Intel Core i7,8 GB DDR,1 TB HDD 5400 rpm,NVIDIA GeForce GTX 1050,nvidia,Dedicated,8,,Dell,Dell Inspiron,Windows 10,5.78 pounds,10.8 x 15.2 x 1 inches,10.8 x 15.2 x 1 inches,Intel,4,8.00,Serial ATA,5400 RPM,DVD-ROM,1 Lithium Polymer batteries required. (included),"June 6, 2017",$634.99
1243,15.6 inches,1920 x 1080,2 GHz Ryzen 5 2500U,8 GB SDRAM,256 GB SSD,AMD Radeon Vega 8 Graphics,AMD,,,9 hours,HP,HP ENVY x360 Ryzen,Windows 10,4.53 pounds,14.6 x 9.9 x 0.8 inches,14.6 x 9.9 x 0.77 inches,AMD,4,256 GB,Serial ATA,,,1 Lithium ion batteries required. (included),"June 7, 2019",$658.40
1244,15.6 inches,1920 x 1080,2.7 GHz AMD A Series,32 GB,512 GB flash_memory_solid_state,AMD Radeon R7,amd,Dedicated,,,ASUS,VivoBook F510QA,Windows 10,5.68 pounds,14.2 x 10.1 x 0.8 inches,14.2 x 10.1 x 0.8 inches,Intel,4,32 GB,Solid State,,,,"July 2, 2019",$596.39
1245,11.6 inches,1366 x 768,1.44 GHz Quad Core Xeon 2.8 GHz,2 GB,32 GB,Posterior de 2.0 MP,intel,,,,LOVCUBE,MAXIMUS Plus,Windows 10,4.75 pounds,,,Intel,4,,USB 2.0,,,1 Lithium ion batteries required. (included),"September 19, 2019",$99.00
1246,15.6 inches,4096x2304,4 GHz Core i5 8300H,20 GB,1 TB HDD 5400 rpm,NVIDIA GeForce GTX 1050 Ti,NVIDIA,Dedicated,,,Dell,850012652533,Windows 10,,15 x 10.2 x 0.9 inches,14.96 x 10.16 x 0.89 inches,Intel,4,,Serial ATA-600,,,,"September 16, 2019",$798.46
1247,14 inches,1366x768,2.6 GHz Ryzen 3 2300U,12 GB,256 GB SSD,Radeon Vega 3 Graphics,AMD,,,,HP,850011107911,Windows 10,3.25 pounds,12.8 x 8.9 x 0.8 inches,12.75 x 8.89 x 0.78 inches,AMD,2,,Solid State,,,,"November 12, 2019",$379.99
1248,15.6 inches,1920 x 1080 (Full HD),8032,16 GB DDR4,flash_memory_solid_state,Intel UHD Graphics 620,,Integrated,,,Dell,Dell Inspiron,,6.8 pounds,20.3 x 3.2 x 13 inches,20.3 x 3.2 x 13 inches,,1,512 GB,,,,1 Lithium ion batteries required.,"November 15, 2017",
1249,15.6 inches,1920 x 1080,1.6 GHz Intel Core i5,8 GB DDR,256 GB PCIe SSD,Intel UHD Graphics 620,Intel,Integrated,,,Dell,Dell Inspiron,Windows 10 Home,,9.5 x 14.2 x 0.7 inches,9.5 x 14.2 x 0.7 inches,Intel,4,256 GB,Solid State,,,3 Lithium ion batteries required.,"July 22, 2019",$658.99
1250,15.6 inches,3840 x 2160,4.6 GHz Intel Core i7,16 GB,512 GB flash_memory_solid_state,NVIDIA GeForce MX250 with 2GB,,,,,HP,Spectre,Windows 10,4.81 pounds,14.2 x 9.8 x 0.8 inches,14.22 x 9.84 x 0.76 inches,Intel,4,,Solid State,,,1 Lithium ion batteries required. (included),"November 14, 2019","$1,248.49"
1251,13.3 inches,1366 x 768,2.5 GHz 1.2GHz Cortex A8 Processor,8 GB SO-DIMM DDR4,256 GB SSD,Intel HD Graphics 620,Intel,"Dedicated, Integrated",,,HP,ProBook 430 G5 Commercial Notebook PC,Windows 10 Professoinal,3.6 pounds,9.4 x 13.2 x 0.8 inches,9.37 x 13.23 x 0.79 inches,Intel,2,256.00,Solid State,1,BD-R,1 Lithium ion batteries required. (included),"February 19, 2019",$643.49
1252,11.6 inches,1366 x 768,1.1 GHz Intel Celeron,4 GB SDRAM,32 GB SSD,Intel UHD Graphics 600,intel,,,5 hours,HP,HP Stream,Windows 10,2.57 pounds,11.8 x 8.1 x 0.7 inches,11.8 x 8.1 x 0.7 inches,Intel,2,32 GB,Solid State,,,1 Lithium ion batteries required.,"December 6, 2018",$159.99
1253,15.6 inches,1920 x 1080,2.3 GHz Intel Core i5,8 GB,128 GB SSD,NVIDIA GeForce GTX 1050 Ti,Nvidia,Dedicated,,,Dell,DELL,Windows 10,4.85 pounds,15 x 10.2 x 0.9 inches,14.96 x 10.16 x 0.89 inches,Intel,4,128 GB,Serial ATA,,,1 Lithium ion batteries required. (included),"July 28, 2018",$655.00
1254,15.6 inches,1366x768,1.9 GHz AMD R Series,16 GB,256 GB SSD,AMD Radeon Vega 3,amd,,,,Lenovo,IdeaPad,Windows 10,4.85 pounds,14.3 x 10 x 0.9 inches,14.3 x 10 x 0.9 inches,AMD,2,256 GB,Solid State,,,,"August 29, 2019",$446.90
1255,15.6 inches,1366 x 768,2.4 GHz Intel Core i3,16 GB,128 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,,HP,HP,Windows 10 Home,4.52 pounds,15 x 10 x 0.9 inches,15 x 10 x 0.9 inches,Intel,2,,Serial ATA,,,,"August 21, 2019",$550.40
1256,14 inches,HD ( 1366 x 768 ),2.3 GHz Pentium,8 GB DDR,128 GB SSD,Integrated Intel UHD Graphics 610,Intel,integrated,,11.25 hours,HP,hp laptops,Windows 10 Home S Mode,3.15 pounds,9 x 12.8 x 0.8 inches,8.98 x 12.76 x 0.78 inches,Intel,2,,Solid State,,,3 Lithium ion batteries required.,"November 7, 2019",$299.00
