,Screen Size,Screen Resolution,Processor,RAM,Hard Drive,Graphics Coprocessor,Chipset Brand,Card Description,Number of USB 3.0 Ports,Average Battery Life (in hours),Brand Name,Series,Operating System,Item Weight,Product Dimensions,Item Dimensions L x W x H,Processor Brand,Processor Count,Flash Memory Size,Hard Drive Interface,Hard Drive Rotational Speed,Optical Drive Type,Batteries,Date First Available,Price
4686,15.6 inches,1920x1080 pixels,2.2 GHz Intel Core i7,16 GB,1000 GB Hybrid Drive,NVIDIA GeForce GTX 1080,nvidia,Dedicated,3,,MSI,GT63 Titan-052,Windows 10 Home,6.48 pounds,15.3 x 10.5 x 1.6 inches,15.35 x 10.47 x 1.56 inches,Intel,6,256.0,Serial ATA,7200 RPM,No Optical Drive,1 Lithium ion batteries required. (included),"October 17, 2018","$2,293.17"
4687,14 inches,1366 x 768,1.6 GHz AMD A Series,4 GB,64 GB SSD,AMD Radeon R4,,Dedicated,,,Lenovo,Lenovo - IdeaPad,Windows 10,4.6 pounds,14 x 10.2 x 0.8 inches,14.02 x 10.2 x 0.82 inches,Intel,2,,Solid State,,,,"November 13, 2019",$203.00
4688,15.6 inches,1366x768,1.6 GHz Intel Core i5,8 GB,512 GB SSD,Intel UHD Graphics 620,,Integrated,,,HP,HP Pavilion 15,Windows 10,,14.2 x 9.5 x 0.7 inches,14.24 x 9.51 x 0.7 inches,Intel,4,,PCIE x 8,,,1 Lithium ion batteries required. (included),"November 21, 2019",$645.00
4689,17.3 inches,,1.8 GHz AMD A8,4 GB DDR3,750 GB mechanical_hard_drive,,amd,,,,HP,17-p120wm,Windows 10,6.22 pounds,16.5 x 11 x 1.1 inches,16.52 x 10.98 x 1.09 inches,AMD,4,,,,,1 Lithium ion batteries required.,"June 16, 2016",$437.72
4690,15.6 inches,1920x1080,2.5 GHz Athlon 64 Single-Core TF-20,8 GB,256 GB Hybrid,Intel HD Graphics 620,Intel,Integrated,,,Dell,Dell Inspiron,Windows 10 Home,4.96 pounds,15 x 10.2 x 1 inches,14.96 x 10.25 x 0.99 inches,Intel,2,256 GB,Solid State,,,1 Lithium ion batteries required.,"September 11, 2018",$455.00
4691,15.6 inches,7680x4320,4.1 GHz Core i7 8750H,32 GB,1 GB SSD,NVIDIA GeForce GTX 1050 Ti,NVIDIA,Dedicated,,,Dell,850012653592,Windows 10,,15 x 10 x 1 inches,15 x 10 x 1 inches,Intel,6,,Solid State,,,,"September 17, 2019",
4692,17.3 inches,1920 x 1080,4.9 GHz,16 GB,1512 GB hybrid_drive,NVIDIA®,nvidia,dedicated,,,Alienware,Dell Alienware Area 51M,Windows 10,15 pounds,19 x 20 x 6 inches,19 x 20 x 6 inches,Intel,1,256 GB,,,,1 Lithium ion batteries required. (included),"April 21, 2019","$2,999.00"
4693,14 inches,,2.5 GHz Intel Mobile CPU,16 GB,2 TB flash_memory_solid_state,Integrated Graphics,intel,Integrated,,,Panasonic,CF53RL2D,Windows 10,,,,Intel,1,,Solid State,,,,"October 8, 2019","$1,299.00"
4694,15.6 inches,1366 x 768,1.6 GHz Intel Core i5,8 GB,512 GB SSD,Intel UHD Graphics 620,intel,Integrated,,,HP,HP-Probook-512SSD,Windows 10 Pro,4.41 pounds,14.8 x 10.4 x 0.8 inches,14.8 x 10.4 x 0.8 inches,Intel,4,512 GB,Solid State,,,1 Lithium ion batteries required. (included),"October 29, 2018",$699.49
4695,17.3 inches,1920 x 1080,1.8 GHz Intel Core i7,4 GB DDR,16 GB Hybrid,2GB GDDR5 SDRAM NVIDIA GeForce MX150,NVIDIA,dedicated,,,Dell,Dell Inspiron 17 7000,Windows 10 Home,6.48 pounds,10.9 x 16.2 x 0.9 inches,10.9 x 16.2 x 0.9 inches,Intel,4,512 GB,Solid State,,,4 Lithium ion batteries required.,"April 18, 2019",$955.91
4696,15.6 inches,1920 x 1080,1.6 GHz Intel Core i5,8 GB,1 TB HDD 5400 rpm,Intel HD Graphics 620,intel,Integrated,,10 hours,Acer,Swift 3,Windows 10,5.45 pounds,10 x 14.8 x 0.8 inches,10.04 x 14.76 x 0.75 inches,Intel,4,,,,,1 Lithium Polymer batteries required. (included),"August 1, 2018",$548.90
4697,13.3 inches,1920 x 1080,3.9 GHz Intel Core i5,8 GB DDR4,512 GB SSD,Intel UHD Graphics 620,Intel,Integrated,,,Dell,Dell Inspiron,Windows 10,,12.1 x 8.4 x 0.6 inches,12.1 x 8.4 x 0.6 inches,Intel,4,,Solid State,,,,"September 4, 2019",$670.00
4698,15.6 inches,1366 x 768,1.6 GHz Intel Core i5,32 GB,500 GB HDD,Intel UHD Graphics 620,Intel,Integrated,,,Lenovo,Lenovo,Windows 10 Pro,4.68 pounds,14.5 x 9.9 x 0.8 inches,14.53 x 9.94 x 0.78 inches,Intel,4,,Serial ATA,,,,"October 26, 2019",$842.15
4699,15.6 inches,1366 x 768,2.3 GHz Pentium,4 GB SDRAM,500 GB HDD 5400 rpm,Intel HD Graphics 610,Intel,,,7 hours,Lenovo,IdeaPad S145,Windows 10,4.08 pounds,14.3 x 9.9 x 0.8 inches,14.3 x 9.9 x 0.78 inches,Intel,2,,Serial ATA,,,1 Lithium ion batteries required. (included),"October 14, 2019",$295.44
4700,15.6 inches,1366 x 768,2.5 GHz Intel Core i5,32 GB SDRAM,1 TB HDD 5400 rpm,Intel HD Graphics 620,Intel,Integrated,,,Dell,Inspiron 15,Windows 10,5.07 pounds,15 x 10.2 x 0.9 inches,15 x 10.2 x 0.9 inches,Intel,2,32 GB,Serial ATA,,,1 Lithium ion batteries required. (included),"July 3, 2019",$672.15
4701,15.6 inches,1920 x 1080,3.9 GHz Intel Core i5,8 GB DDR4,128 GB flash_memory_solid_state,NVIDIA GeForce GTX 1060,nvidia,dedicated,,,Dell,,Windows 10,6.28 pounds,10.8 x 15.3 x 1 inches,10.82 x 15.32 x 0.98 inches,Intel,4,128.0,Serial ATA,5400 RPM,,1 Lithium ion batteries required.,"July 17, 2018",
4702,15.6 inches,1920x1080 pixels,2.2 GHz Intel Core i7,16 GB DDR3,Flash Memory Solid State,NVIDIA GeForce GTX 1050 Ti,NVIDIA,Dedicated,4,8 hours,MSI,P65 Creator 8RD-021,Windows 10 Pro,4.14 pounds,14.1 x 9.8 x 0.7 inches,14.08 x 9.75 x 0.69 inches,Intel,6,256.0,ATA-4,1 RPM,No Optical Drive,100 Lithium ion batteries required. (included),"September 24, 2018","$1,199.00"
4703,15.6 inches,1366 x 768,1.1 GHz Pentium,16 GB SDRAM,500 GB HDD 5400 rpm,Intel UHD Graphics 605,Intel,,,8 hours,Dell,Inspiron,Windows 10,4.96 pounds,15 x 10.2 x 0.9 inches,14.96 x 10.15 x 0.89 inches,Intel,4,,Serial ATA,,,1 Lithium ion batteries required. (included),"July 15, 2019",$381.08
